x	y 	z	prob	kg/s	T 
428308	4519502	0	1	0.0047	300
427393	4519517	0	1	0.0039	300
427408	4519517	0	1	0.0033	300
427423	4519517	0	1	0.0032	300
427438	4519517	0	1	0.0037	300
427453	4519517	0	1	0.005	300
427468	4519517	0	1	0.0082	300
427483	4519517	0	1	0.012	300
427498	4519517	0	1	0.011	300
427513	4519517	0	1	0.0077	300
427528	4519517	0	1	0.0089	300
427543	4519517	0	1	0.0071	300
427558	4519517	0	1	0.0093	300
427573	4519517	0	1	0.0091	300
427588	4519517	0	1	0.0092	300
427603	4519517	0	1	0.0089	300
427618	4519517	0	1	0.0074	300
427633	4519517	0	1	0.0077	300
427648	4519517	0	1	0.0066	300
427663	4519517	0	1	0.0053	300
427678	4519517	0	1	0.003	300
427693	4519517	0	1	0.0041	300
427708	4519517	0	1	0.0048	300
427723	4519517	0	1	0.0045	300
427738	4519517	0	1	0.0031	300
427753	4519517	0	1	0.0027	300
427768	4519517	0	1	0.0025	300
427783	4519517	0	1	0.0022	300
427798	4519517	0	1	0.0021	300
427813	4519517	0	1	0.0016	300
427828	4519517	0	1	0.0019	300
427843	4519517	0	1	0.002	300
427858	4519517	0	1	0.0024	300
427873	4519517	0	1	0.0037	300
427888	4519517	0	1	0.0037	300
427903	4519517	0	1	0.0046	300
427918	4519517	0	1	0.0041	300
427933	4519517	0	1	0.0035	300
427948	4519517	0	1	0.0053	300
427963	4519517	0	1	0.0045	300
427978	4519517	0	1	0.0034	300
427993	4519517	0	1	0.004	300
428008	4519517	0	1	0.0038	300
428023	4519517	0	1	0.0049	300
428038	4519517	0	1	0.0062	300
428053	4519517	0	1	0.0074	300
428068	4519517	0	1	0.0071	300
428083	4519517	0	1	0.0062	300
428098	4519517	0	1	0.0042	300
428113	4519517	0	1	0.0036	300
428128	4519517	0	1	0.0035	300
428143	4519517	0	1	0.0042	300
428158	4519517	0	1	0.0039	300
428173	4519517	0	1	0.0043	300
428188	4519517	0	1	0.0046	300
428203	4519517	0	1	0.0037	300
428218	4519517	0	1	0.0031	300
428233	4519517	0	1	0.0029	300
428248	4519517	0	1	0.0032	300
428263	4519517	0	1	0.0026	300
428278	4519517	0	1	0.0031	300
428293	4519517	0	1	0.0037	300
428308	4519517	0	1	0.0054	300
428323	4519517	0	1	0.006	300
427228	4519532	0	1	0.002	300
427243	4519532	0	1	0.0016	300
427378	4519532	0	1	0.0029	300
427393	4519532	0	1	0.0035	300
427408	4519532	0	1	0.0031	300
427423	4519532	0	1	0.0032	300
427438	4519532	0	1	0.0041	300
427453	4519532	0	1	0.0054	300
427468	4519532	0	1	0.0093	300
427483	4519532	0	1	0.0097	300
427498	4519532	0	1	0.011	300
427513	4519532	0	1	0.0088	300
427528	4519532	0	1	0.0084	300
427543	4519532	0	1	0.0072	300
427558	4519532	0	1	0.0099	300
427573	4519532	0	1	0.011	300
427588	4519532	0	1	0.015	300
427603	4519532	0	1	0.015	300
427618	4519532	0	1	0.015	300
427633	4519532	0	1	0.017	300
427648	4519532	0	1	0.017	300
427663	4519532	0	1	0.011	300
427678	4519532	0	1	0.0056	300
427693	4519532	0	1	0.0065	300
427708	4519532	0	1	0.0065	300
427723	4519532	0	1	0.0061	300
427738	4519532	0	1	0.005	300
427753	4519532	0	1	0.0043	300
427768	4519532	0	1	0.0029	300
427783	4519532	0	1	0.0024	300
427798	4519532	0	1	0.0024	300
427813	4519532	0	1	0.0023	300
427828	4519532	0	1	0.0017	300
427843	4519532	0	1	0.0018	300
427858	4519532	0	1	0.0018	300
427873	4519532	0	1	0.002	300
427888	4519532	0	1	0.003	300
427903	4519532	0	1	0.0038	300
427918	4519532	0	1	0.005	300
427933	4519532	0	1	0.0069	300
427948	4519532	0	1	0.0059	300
427963	4519532	0	1	0.0058	300
427978	4519532	0	1	0.0066	300
427993	4519532	0	1	0.0085	300
428008	4519532	0	1	0.0087	300
428023	4519532	0	1	0.01	300
428038	4519532	0	1	0.012	300
428053	4519532	0	1	0.013	300
428068	4519532	0	1	0.013	300
428083	4519532	0	1	0.0095	300
428098	4519532	0	1	0.0067	300
428113	4519532	0	1	0.0046	300
428128	4519532	0	1	0.005	300
428143	4519532	0	1	0.0059	300
428158	4519532	0	1	0.0066	300
428173	4519532	0	1	0.006	300
428188	4519532	0	1	0.0049	300
428203	4519532	0	1	0.0052	300
428218	4519532	0	1	0.0046	300
428233	4519532	0	1	0.0034	300
428248	4519532	0	1	0.0027	300
428263	4519532	0	1	0.003	300
428278	4519532	0	1	0.003	300
428293	4519532	0	1	0.0038	300
428308	4519532	0	1	0.0047	300
428323	4519532	0	1	0.0058	300
427213	4519547	0	1	0.0024	300
427228	4519547	0	1	0.0014	300
427243	4519547	0	1	0.0017	300
427258	4519547	0	1	0.0016	300
427273	4519547	0	1	0.0011	300
427288	4519547	0	1	0.0011	300
427303	4519547	0	1	0.0012	300
427348	4519547	0	1	0.0018	300
427363	4519547	0	1	0.002	300
427378	4519547	0	1	0.0027	300
427393	4519547	0	1	0.0038	300
427408	4519547	0	1	0.0037	300
427423	4519547	0	1	0.0053	300
427438	4519547	0	1	0.005	300
427453	4519547	0	1	0.0062	300
427468	4519547	0	1	0.0082	300
427483	4519547	0	1	0.0087	300
427498	4519547	0	1	0.0084	300
427513	4519547	0	1	0.0077	300
427528	4519547	0	1	0.0061	300
427543	4519547	0	1	0.0061	300
427558	4519547	0	1	0.007	300
427573	4519547	0	1	0.011	300
427588	4519547	0	1	0.018	300
427603	4519547	0	1	0.021	300
427618	4519547	0	1	0.028	300
427633	4519547	0	1	0.036	300
427648	4519547	0	1	0.03	300
427663	4519547	0	1	0.023	300
427678	4519547	0	1	0.018	300
427693	4519547	0	1	0.017	300
427708	4519547	0	1	0.013	300
427723	4519547	0	1	0.0098	300
427738	4519547	0	1	0.0078	300
427753	4519547	0	1	0.0053	300
427768	4519547	0	1	0.0046	300
427783	4519547	0	1	0.0033	300
427798	4519547	0	1	0.0023	300
427813	4519547	0	1	0.002	300
427828	4519547	0	1	0.0017	300
427843	4519547	0	1	0.0013	300
427858	4519547	0	1	0.0012	300
427873	4519547	0	1	0.0014	300
427888	4519547	0	1	0.002	300
427903	4519547	0	1	0.0036	300
427918	4519547	0	1	0.0046	300
427933	4519547	0	1	0.0066	300
427948	4519547	0	1	0.0085	300
427963	4519547	0	1	0.0095	300
427978	4519547	0	1	0.013	300
427993	4519547	0	1	0.013	300
428008	4519547	0	1	0.018	300
428023	4519547	0	1	0.021	300
428038	4519547	0	1	0.02	300
428053	4519547	0	1	0.021	300
428068	4519547	0	1	0.022	300
428083	4519547	0	1	0.016	300
428098	4519547	0	1	0.011	300
428113	4519547	0	1	0.0073	300
428128	4519547	0	1	0.0072	300
428143	4519547	0	1	0.0096	300
428158	4519547	0	1	0.0076	300
428173	4519547	0	1	0.0093	300
428188	4519547	0	1	0.008	300
428203	4519547	0	1	0.007	300
428218	4519547	0	1	0.0057	300
428233	4519547	0	1	0.0042	300
428248	4519547	0	1	0.0034	300
428263	4519547	0	1	0.0022	300
428278	4519547	0	1	0.0025	300
428293	4519547	0	1	0.0033	300
428308	4519547	0	1	0.0044	300
428323	4519547	0	1	0.0047	300
428338	4519547	0	1	0.0051	300
427213	4519562	0	1	0.0031	300
427228	4519562	0	1	0.0015	300
427243	4519562	0	1	0.0019	300
427258	4519562	0	1	0.0019	300
427273	4519562	0	1	0.0015	300
427288	4519562	0	1	0.0011	300
427303	4519562	0	1	0.0013	300
427318	4519562	0	1	0.0014	300
427333	4519562	0	1	0.0014	300
427348	4519562	0	1	0.0013	300
427363	4519562	0	1	0.0015	300
427378	4519562	0	1	0.002	300
427393	4519562	0	1	0.0024	300
427408	4519562	0	1	0.0037	300
427423	4519562	0	1	0.0047	300
427438	4519562	0	1	0.0054	300
427453	4519562	0	1	0.0062	300
427468	4519562	0	1	0.0071	300
427483	4519562	0	1	0.0074	300
427498	4519562	0	1	0.0064	300
427513	4519562	0	1	0.0057	300
427528	4519562	0	1	0.0047	300
427543	4519562	0	1	0.004	300
427558	4519562	0	1	0.0061	300
427573	4519562	0	1	0.0087	300
427588	4519562	0	1	0.018	300
